n,B,trial,greedy_score,beam_score
5,1,0,1.32921,1.32921
5,2,0,1.32921,2.60761
5,3,0,1.32921,2.60761
5,4,0,1.32921,2.60761
5,5,0,1.32921,2.60761
5,6,0,1.32921,2.60761
5,7,0,1.32921,2.60761
5,8,0,1.32921,2.60761
5,9,0,1.32921,2.60761
5,10,0,1.32921,2.60761
5,1,1,1.91074,1.91074
5,2,1,1.91074,2.34994
5,3,1,1.91074,2.34994
5,4,1,1.91074,2.07296
5,5,1,1.91074,2.07296
5,6,1,1.91074,2.34994
5,7,1,1.91074,2.34994
5,8,1,1.91074,2.34994
5,9,1,1.91074,2.34994
5,10,1,1.91074,2.34994
5,1,2,2.63274,2.63274
5,2,2,2.63274,2.45145
5,3,2,2.63274,2.62751
5,4,2,2.63274,2.62468
5,5,2,2.63274,2.62751
5,6,2,2.63274,2.62751
5,7,2,2.63274,2.62468
5,8,2,2.63274,2.63274
5,9,2,2.63274,2.63274
5,10,2,2.63274,2.63274
5,1,3,2.11793,2.11793
5,2,3,2.11793,2.47408
5,3,3,2.11793,2.59652
5,4,3,2.11793,2.59652
5,5,3,2.11793,2.59652
5,6,3,2.11793,2.59652
5,7,3,2.11793,2.67794
5,8,3,2.11793,2.67794
5,9,3,2.11793,2.67794
5,10,3,2.11793,2.67794
5,1,4,1.60735,1.60735
5,2,4,1.60735,2.00099
5,3,4,1.60735,2.19873
5,4,4,1.60735,2.19873
5,5,4,1.60735,2.19873
5,6,4,1.60735,2.19873
5,7,4,1.60735,2.19873
5,8,4,1.60735,2.19873
5,9,4,1.60735,2.19873
5,10,4,1.60735,2.19873
5,1,5,1.93199,1.93199
5,2,5,1.93199,2.76906
5,3,5,1.93199,2.77354
5,4,5,1.93199,2.77354
5,5,5,1.93199,2.77354
5,6,5,1.93199,2.77354
5,7,5,1.93199,2.77354
5,8,5,1.93199,2.77354
5,9,5,1.93199,2.77354
5,10,5,1.93199,2.77354
5,1,6,1.45522,1.45522
5,2,6,1.45522,2.35354
5,3,6,1.45522,2.35354
5,4,6,1.45522,2.35354
5,5,6,1.45522,2.35354
5,6,6,1.45522,2.35354
5,7,6,1.45522,2.35354
5,8,6,1.45522,2.35354
5,9,6,1.45522,2.35354
5,10,6,1.45522,2.35354
5,1,7,2.10704,2.10704
5,2,7,2.10704,2.31737
5,3,7,2.10704,2.31737
5,4,7,2.10704,2.31737
5,5,7,2.10704,2.31737
5,6,7,2.10704,2.31737
5,7,7,2.10704,2.31737
5,8,7,2.10704,2.31737
5,9,7,2.10704,2.31737
5,10,7,2.10704,2.31737
5,1,8,2.92475,2.92475
5,2,8,2.92475,2.38119
5,3,8,2.92475,2.74397
5,4,8,2.92475,2.74397
5,5,8,2.92475,2.74397
5,6,8,2.92475,2.74397
5,7,8,2.92475,2.92475
5,8,8,2.92475,2.92475
5,9,8,2.92475,2.92475
5,10,8,2.92475,2.92475
5,1,9,2.06642,2.06642
5,2,9,2.06642,2.54275
5,3,9,2.06642,2.54275
5,4,9,2.06642,2.54275
5,5,9,2.06642,2.54275
5,6,9,2.06642,2.54275
5,7,9,2.06642,2.54275
5,8,9,2.06642,2.54275
5,9,9,2.06642,2.54275
5,10,9,2.06642,2.54275
5,1,10,2.26817,2.26817
5,2,10,2.26817,2.81321
5,3,10,2.26817,2.95363
5,4,10,2.26817,2.95363
5,5,10,2.26817,2.95363
5,6,10,2.26817,2.95363
5,7,10,2.26817,2.95363
5,8,10,2.26817,2.95363
5,9,10,2.26817,2.95363
5,10,10,2.26817,2.95363
5,1,11,1.95165,1.95165
5,2,11,1.95165,2.04892
5,3,11,1.95165,2.44795
5,4,11,1.95165,2.44795
5,5,11,1.95165,2.44795
5,6,11,1.95165,2.44795
5,7,11,1.95165,2.44795
5,8,11,1.95165,2.47409
5,9,11,1.95165,2.47409
5,10,11,1.95165,2.47409
5,1,12,1.77615,1.77615
5,2,12,1.77615,1.83962
5,3,12,1.77615,2.1068
5,4,12,1.77615,2.1068
5,5,12,1.77615,2.1068
5,6,12,1.77615,2.1068
5,7,12,1.77615,2.29779
5,8,12,1.77615,2.29779
5,9,12,1.77615,2.29779
5,10,12,1.77615,2.29779
5,1,13,2.91497,2.91497
5,2,13,2.91497,2.3764
5,3,13,2.91497,2.68093
5,4,13,2.91497,2.68093
5,5,13,2.91497,2.68093
5,6,13,2.91497,2.68093
5,7,13,2.91497,2.91497
5,8,13,2.91497,2.91497
5,9,13,2.91497,2.91497
5,10,13,2.91497,2.91497
5,1,14,1.5919,1.5919
5,2,14,1.5919,1.41056
5,3,14,1.5919,1.49886
5,4,14,1.5919,1.9011
5,5,14,1.5919,1.9011
5,6,14,1.5919,1.9011
5,7,14,1.5919,1.9011
5,8,14,1.5919,1.9011
5,9,14,1.5919,1.9011
5,10,14,1.5919,1.9011
5,1,15,2.74564,2.74564
5,2,15,2.74564,2.92936
5,3,15,2.74564,2.92936
5,4,15,2.74564,2.92936
5,5,15,2.74564,2.92936
5,6,15,2.74564,2.92936
5,7,15,2.74564,2.92936
5,8,15,2.74564,2.92936
5,9,15,2.74564,2.92936
5,10,15,2.74564,2.92936
5,1,16,1.95758,1.95758
5,2,16,1.95758,2.87237
5,3,16,1.95758,3.0108
5,4,16,1.95758,3.0108
5,5,16,1.95758,3.0108
5,6,16,1.95758,3.0108
5,7,16,1.95758,3.0108
5,8,16,1.95758,3.0108
5,9,16,1.95758,3.0108
5,10,16,1.95758,3.0108
5,1,17,1.76828,1.76828
5,2,17,1.76828,2.30075
5,3,17,1.76828,2.55958
5,4,17,1.76828,2.55958
5,5,17,1.76828,2.55958
5,6,17,1.76828,2.55958
5,7,17,1.76828,2.55958
5,8,17,1.76828,2.55958
5,9,17,1.76828,2.55958
5,10,17,1.76828,2.55958
5,1,18,1.40323,1.40323
5,2,18,1.40323,2.13277
5,3,18,1.40323,2.13277
5,4,18,1.40323,2.13277
5,5,18,1.40323,2.13277
5,6,18,1.40323,2.13277
5,7,18,1.40323,2.13277
5,8,18,1.40323,2.13277
5,9,18,1.40323,2.13277
5,10,18,1.40323,2.13277
5,1,19,1.28773,1.28773
5,2,19,1.28773,2.04671
5,3,19,1.28773,2.18404
5,4,19,1.28773,2.18404
5,5,19,1.28773,2.18404
5,6,19,1.28773,2.18404
5,7,19,1.28773,2.18404
5,8,19,1.28773,2.18404
5,9,19,1.28773,2.18404
5,10,19,1.28773,2.18404
10,1,0,7.95461,7.95461
10,2,0,7.95461,10.2407
10,3,0,7.95461,10.2407
10,4,0,7.95461,10.2407
10,5,0,7.95461,10.2407
10,6,0,7.95461,10.2407
10,7,0,7.95461,10.2407
10,8,0,7.95461,10.2407
10,9,0,7.95461,10.2407
10,10,0,7.95461,10.2407
10,1,1,9.21709,9.21709
10,2,1,9.21709,9.6931
10,3,1,9.21709,9.69446
10,4,1,9.21709,9.69446
10,5,1,9.21709,9.69446
10,6,1,9.21709,9.69446
10,7,1,9.21709,9.69446
10,8,1,9.21709,9.69446
10,9,1,9.21709,9.69446
10,10,1,9.21709,9.69446
10,1,2,9.33221,9.33221
10,2,2,9.33221,8.82756
10,3,2,9.33221,8.82756
10,4,2,9.33221,8.82756
10,5,2,9.33221,9.41289
10,6,2,9.33221,9.41289
10,7,2,9.33221,9.41289
10,8,2,9.33221,8.82756
10,9,2,9.33221,9.41289
10,10,2,9.33221,9.41289
10,1,3,9.73743,9.73743
10,2,3,9.73743,9.99063
10,3,3,9.73743,9.99063
10,4,3,9.73743,9.99063
10,5,3,9.73743,9.99063
10,6,3,9.73743,9.99063
10,7,3,9.73743,9.99063
10,8,3,9.73743,9.99063
10,9,3,9.73743,9.99063
10,10,3,9.73743,9.99063
10,1,4,8.78688,8.78688
10,2,4,8.78688,9.45037
10,3,4,8.78688,9.24522
10,4,4,8.78688,9.24522
10,5,4,8.78688,9.24522
10,6,4,8.78688,9.24522
10,7,4,8.78688,9.24522
10,8,4,8.78688,9.24522
10,9,4,8.78688,9.24522
10,10,4,8.78688,9.24522
10,1,5,8.71724,8.71724
10,2,5,8.71724,8.78629
10,3,5,8.71724,8.78629
10,4,5,8.71724,8.78629
10,5,5,8.71724,8.78629
10,6,5,8.71724,8.78629
10,7,5,8.71724,8.78629
10,8,5,8.71724,8.78629
10,9,5,8.71724,8.78629
10,10,5,8.71724,8.78629
10,1,6,8.32629,8.32629
10,2,6,8.32629,9.19354
10,3,6,8.32629,9.68577
10,4,6,8.32629,9.68577
10,5,6,8.32629,9.68577
10,6,6,8.32629,9.68577
10,7,6,8.32629,9.68577
10,8,6,8.32629,9.68577
10,9,6,8.32629,9.68577
10,10,6,8.32629,9.68577
10,1,7,8.18261,8.18261
10,2,7,8.18261,9.10106
10,3,7,8.18261,9.10106
10,4,7,8.18261,9.10106
10,5,7,8.18261,9.10106
10,6,7,8.18261,9.10106
10,7,7,8.18261,9.10106
10,8,7,8.18261,9.10106
10,9,7,8.18261,9.10106
10,10,7,8.18261,9.10106
10,1,8,9.28087,9.28087
10,2,8,9.28087,10.3737
10,3,8,9.28087,9.62459
10,4,8,9.28087,9.62459
10,5,8,9.28087,9.62459
10,6,8,9.28087,9.62459
10,7,8,9.28087,9.62459
10,8,8,9.28087,9.62459
10,9,8,9.28087,9.62459
10,10,8,9.28087,9.62459
10,1,9,9.35663,9.35663
10,2,9,9.35663,9.54028
10,3,9,9.35663,9.80467
10,4,9,9.35663,9.80467
10,5,9,9.35663,9.80467
10,6,9,9.35663,9.80467
10,7,9,9.35663,9.80467
10,8,9,9.35663,9.80467
10,9,9,9.35663,9.80467
10,10,9,9.35663,9.80467
10,1,10,6.09863,6.09863
10,2,10,6.09863,7.46764
10,3,10,6.09863,7.46764
10,4,10,6.09863,7.46764
10,5,10,6.09863,8.57738
10,6,10,6.09863,8.57738
10,7,10,6.09863,8.57738
10,8,10,6.09863,7.46764
10,9,10,6.09863,8.57738
10,10,10,6.09863,8.57738
10,1,11,9.60701,9.60701
10,2,11,9.60701,8.95811
10,3,11,9.60701,8.95811
10,4,11,9.60701,8.95811
10,5,11,9.60701,8.95811
10,6,11,9.60701,8.95811
10,7,11,9.60701,8.95811
10,8,11,9.60701,8.95811
10,9,11,9.60701,8.95811
10,10,11,9.60701,8.95811
10,1,12,8.99186,8.99186
10,2,12,8.99186,9.68584
10,3,12,8.99186,10.0876
10,4,12,8.99186,10.0876
10,5,12,8.99186,10.0876
10,6,12,8.99186,10.0876
10,7,12,8.99186,10.0876
10,8,12,8.99186,10.0876
10,9,12,8.99186,10.0876
10,10,12,8.99186,10.0876
10,1,13,7.99801,7.99801
10,2,13,7.99801,9.42677
10,3,13,7.99801,9.67027
10,4,13,7.99801,9.67027
10,5,13,7.99801,9.67027
10,6,13,7.99801,9.67027
10,7,13,7.99801,9.67027
10,8,13,7.99801,9.67027
10,9,13,7.99801,9.67027
10,10,13,7.99801,9.67027
10,1,14,9.80559,9.80559
10,2,14,9.80559,9.49731
10,3,14,9.80559,9.49731
10,4,14,9.80559,9.49731
10,5,14,9.80559,9.49731
10,6,14,9.80559,9.49731
10,7,14,9.80559,9.49731
10,8,14,9.80559,9.49731
10,9,14,9.80559,9.49731
10,10,14,9.80559,9.49731
10,1,15,10.2455,10.2455
10,2,15,10.2455,8.96599
10,3,15,10.2455,8.96599
10,4,15,10.2455,8.96599
10,5,15,10.2455,9.79748
10,6,15,10.2455,9.79748
10,7,15,10.2455,9.79748
10,8,15,10.2455,8.96599
10,9,15,10.2455,9.79748
10,10,15,10.2455,9.79748
10,1,16,9.71274,9.71274
10,2,16,9.71274,10.3568
10,3,16,9.71274,9.97483
10,4,16,9.71274,9.90372
10,5,16,9.71274,9.90372
10,6,16,9.71274,9.90372
10,7,16,9.71274,9.90372
10,8,16,9.71274,9.90372
10,9,16,9.71274,9.90372
10,10,16,9.71274,9.90372
10,1,17,8.06067,8.06067
10,2,17,8.06067,8.92109
10,3,17,8.06067,9.48297
10,4,17,8.06067,9.48297
10,5,17,8.06067,9.48297
10,6,17,8.06067,9.48297
10,7,17,8.06067,9.48297
10,8,17,8.06067,9.48297
10,9,17,8.06067,9.48297
10,10,17,8.06067,9.48297
10,1,18,10.73,10.73
10,2,18,10.73,9.72121
10,3,18,10.73,9.72121
10,4,18,10.73,9.72121
10,5,18,10.73,10.3087
10,6,18,10.73,10.3087
10,7,18,10.73,10.3087
10,8,18,10.73,9.72121
10,9,18,10.73,10.3087
10,10,18,10.73,10.3087
10,1,19,9.66221,9.66221
10,2,19,9.66221,9.61842
10,3,19,9.66221,9.61842
10,4,19,9.66221,9.61842
10,5,19,9.66221,9.61842
10,6,19,9.66221,9.61842
10,7,19,9.66221,9.61842
10,8,19,9.66221,9.61842
10,9,19,9.66221,9.61842
10,10,19,9.66221,9.61842
15,1,0,22.4984,22.4984
15,2,0,22.4984,21.7647
15,3,0,22.4984,24.3968
15,4,0,22.4984,24.3874
15,5,0,22.4984,24.9952
15,6,0,22.4984,24.9952
15,7,0,22.4984,25.0783
15,8,0,22.4984,25.8746
15,9,0,22.4984,25.8746
15,10,0,22.4984,25.0783
15,1,1,25.5328,25.5328
15,2,1,25.5328,24.5969
15,3,1,25.5328,24.9951
15,4,1,25.5328,24.5969
15,5,1,25.5328,23.7685
15,6,1,25.5328,23.9477
15,7,1,25.5328,24.6012
15,8,1,25.5328,24.6416
15,9,1,25.5328,24.6416
15,10,1,25.5328,24.6416
15,1,2,23.8846,23.8846
15,2,2,23.8846,23.1301
15,3,2,23.8846,23.2512
15,4,2,23.8846,23.1301
15,5,2,23.8846,24.0061
15,6,2,23.8846,24.0061
15,7,2,23.8846,24.0061
15,8,2,23.8846,24.0061
15,9,2,23.8846,24.0061
15,10,2,23.8846,23.9215
15,1,3,25.6704,25.6704
15,2,3,25.6704,26.811
15,3,3,25.6704,26.811
15,4,3,25.6704,25.5204
15,5,3,25.6704,25.409
15,6,3,25.6704,25.5453
15,7,3,25.6704,25.6941
15,8,3,25.6704,25.6941
15,9,3,25.6704,25.409
15,10,3,25.6704,26.811
15,1,4,25.4779,25.4779
15,2,4,25.4779,24.2529
15,3,4,25.4779,25.9466
15,4,4,25.4779,25.9466
15,5,4,25.4779,25.9466
15,6,4,25.4779,25.9466
15,7,4,25.4779,25.6978
15,8,4,25.4779,25.9466
15,9,4,25.4779,25.9466
15,10,4,25.4779,25.9466
15,1,5,26.05,26.05
15,2,5,26.05,26.0824
15,3,5,26.05,26.0824
15,4,5,26.05,26.0824
15,5,5,26.05,26.1375
15,6,5,26.05,26.1375
15,7,5,26.05,26.1375
15,8,5,26.05,26.0824
15,9,5,26.05,26.0824
15,10,5,26.05,26.0824
15,1,6,23.984,23.984
15,2,6,23.984,24.2962
15,3,6,23.984,24.2962
15,4,6,23.984,24.2962
15,5,6,23.984,26.0719
15,6,6,23.984,26.0719
15,7,6,23.984,26.0719
