n,B,trial,greedy_score,beam_score
5,1,0,6.58923,6.58923
5,2,0,6.58923,7.55442
5,3,0,6.58923,7.55442
5,4,0,6.58923,7.13158
5,5,0,6.58923,7.83682
5,6,0,6.58923,7.83682
5,7,0,6.58923,7.83682
5,8,0,6.58923,7.83682
5,9,0,6.58923,7.83682
5,10,0,6.58923,7.83682
5,1,1,6.32642,6.32642
5,2,1,6.32642,6.03817
5,3,1,6.32642,6.2543
5,4,1,6.32642,6.03209
5,5,1,6.32642,6.2543
5,6,1,6.32642,6.2543
5,7,1,6.32642,6.2543
5,8,1,6.32642,6.2543
5,9,1,6.32642,6.2543
5,10,1,6.32642,6.2543
5,1,2,8.85747,8.85747
5,2,2,8.85747,8.20369
5,3,2,8.85747,8.26721
5,4,2,8.85747,8.26721
5,5,2,8.85747,8.70629
5,6,2,8.85747,8.26721
5,7,2,8.85747,8.70629
5,8,2,8.85747,8.70629
5,9,2,8.85747,8.70629
5,10,2,8.85747,8.70629
5,1,3,7.46506,7.46506
5,2,3,7.46506,7.83857
5,3,3,7.46506,7.83857
5,4,3,7.46506,7.83857
5,5,3,7.46506,7.83857
5,6,3,7.46506,7.61734
5,7,3,7.46506,7.83857
5,8,3,7.46506,7.83857
5,9,3,7.46506,7.83857
5,10,3,7.46506,7.83857
5,1,4,7.03071,7.03071
5,2,4,7.03071,7.30576
5,3,4,7.03071,7.48539
5,4,4,7.03071,7.48539
5,5,4,7.03071,7.48539
5,6,4,7.03071,7.48539
5,7,4,7.03071,7.48539
5,8,4,7.03071,7.48539
5,9,4,7.03071,7.48539
5,10,4,7.03071,7.48539
5,1,5,8.22697,8.22697
5,2,5,8.22697,8.00787
5,3,5,8.22697,8.00787
5,4,5,8.22697,8.0974
5,5,5,8.22697,8.0974
5,6,5,8.22697,8.00787
5,7,5,8.22697,8.00787
5,8,5,8.22697,8.0974
5,9,5,8.22697,8.0974
5,10,5,8.22697,8.0974
5,1,6,6.98907,6.98907
5,2,6,6.98907,7.28547
5,3,6,6.98907,7.28547
5,4,6,6.98907,7.28547
5,5,6,6.98907,7.28547
5,6,6,6.98907,7.28547
5,7,6,6.98907,7.28547
5,8,6,6.98907,7.28547
5,9,6,6.98907,7.28547
5,10,6,6.98907,7.28547
5,1,7,6.89248,6.89248
5,2,7,6.89248,7.03286
5,3,7,6.89248,7.03286
5,4,7,6.89248,7.03286
5,5,7,6.89248,7.03286
5,6,7,6.89248,7.03286
5,7,7,6.89248,7.03286
5,8,7,6.89248,7.03286
5,9,7,6.89248,7.03286
5,10,7,6.89248,7.03286
5,1,8,8.05544,8.05544
5,2,8,8.05544,8.03931
5,3,8,8.05544,7.7828
5,4,8,8.05544,7.7828
5,5,8,8.05544,7.7828
5,6,8,8.05544,8.22763
5,7,8,8.05544,8.67586
5,8,8,8.05544,8.67586
5,9,8,8.05544,8.67586
5,10,8,8.05544,8.67586
5,1,9,6.77009,6.77009
5,2,9,6.77009,7.26484
5,3,9,6.77009,7.26484
5,4,9,6.77009,7.26484
5,5,9,6.77009,7.26484
5,6,9,6.77009,7.26484
5,7,9,6.77009,7.26484
5,8,9,6.77009,7.26484
5,9,9,6.77009,7.26484
5,10,9,6.77009,7.26484
5,1,10,9.86706,9.86706
5,2,10,9.86706,9.45089
5,3,10,9.86706,9.67721
5,4,10,9.86706,9.67721
5,5,10,9.86706,9.67721
5,6,10,9.86706,9.67721
5,7,10,9.86706,9.86706
5,8,10,9.86706,9.86706
5,9,10,9.86706,9.86706
5,10,10,9.86706,9.86706
5,1,11,7.07963,7.07963
5,2,11,7.07963,6.56492
5,3,11,7.07963,7.03148
5,4,11,7.07963,7.03148
5,5,11,7.07963,7.03148
5,6,11,7.07963,7.03148
5,7,11,7.07963,7.03148
5,8,11,7.07963,7.07963
5,9,11,7.07963,7.07963
5,10,11,7.07963,7.07963
5,1,12,6.91631,6.91631
5,2,12,6.91631,6.92009
5,3,12,6.91631,6.92009
5,4,12,6.91631,6.95809
5,5,12,6.91631,6.95809
5,6,12,6.91631,6.95809
5,7,12,6.91631,6.91631
5,8,12,6.91631,6.92009
5,9,12,6.91631,6.92009
5,10,12,6.91631,6.92009
5,1,13,9.25471,9.25471
5,2,13,9.25471,7.93762
5,3,13,9.25471,9.1007
5,4,13,9.25471,9.1007
5,5,13,9.25471,9.1007
5,6,13,9.25471,8.50255
5,7,13,9.25471,9.25471
5,8,13,9.25471,9.25471
5,9,13,9.25471,9.25471
5,10,13,9.25471,9.25471
5,1,14,6.02075,6.02075
5,2,14,6.02075,6.47178
5,3,14,6.02075,6.47178
5,4,14,6.02075,6.47178
5,5,14,6.02075,6.47178
5,6,14,6.02075,6.47178
5,7,14,6.02075,6.47178
5,8,14,6.02075,6.47178
5,9,14,6.02075,6.47178
5,10,14,6.02075,6.47178
5,1,15,8.06115,8.06115
5,2,15,8.06115,8.73901
5,3,15,8.06115,8.73901
5,4,15,8.06115,8.73901
5,5,15,8.06115,8.73901
5,6,15,8.06115,8.73901
5,7,15,8.06115,8.73901
5,8,15,8.06115,8.73901
5,9,15,8.06115,8.73901
5,10,15,8.06115,8.73901
5,1,16,8.28911,8.28911
5,2,16,8.28911,7.7482
5,3,16,8.28911,8.68281
5,4,16,8.28911,8.68281
5,5,16,8.28911,8.68281
5,6,16,8.28911,8.68281
5,7,16,8.28911,8.68281
5,8,16,8.28911,8.68281
5,9,16,8.28911,8.68281
5,10,16,8.28911,8.68281
5,1,17,7.11846,7.11846
5,2,17,7.11846,6.69798
5,3,17,7.11846,7.0587
5,4,17,7.11846,7.0587
5,5,17,7.11846,7.0587
5,6,17,7.11846,7.0587
5,7,17,7.11846,7.11846
5,8,17,7.11846,7.11846
5,9,17,7.11846,7.11846
5,10,17,7.11846,7.11846
5,1,18,6.87127,6.87127
5,2,18,6.87127,7.70261
5,3,18,6.87127,7.72213
5,4,18,6.87127,7.72213
5,5,18,6.87127,7.72213
5,6,18,6.87127,7.72213
5,7,18,6.87127,7.72213
5,8,18,6.87127,7.72213
5,9,18,6.87127,7.72213
5,10,18,6.87127,7.72213
5,1,19,6.28178,6.28178
5,2,19,6.28178,6.29823
5,3,19,6.28178,6.54577
5,4,19,6.28178,6.54577
5,5,19,6.28178,6.54577
5,6,19,6.28178,6.54577
5,7,19,6.28178,6.54577
5,8,19,6.28178,6.54577
5,9,19,6.28178,6.54577
5,10,19,6.28178,6.54577
10,1,0,28.5264,28.5264
10,2,0,28.5264,29.5448
10,3,0,28.5264,29.5448
10,4,0,28.5264,29.5448
10,5,0,28.5264,29.5448
10,6,0,28.5264,29.5448
10,7,0,28.5264,29.5448
10,8,0,28.5264,29.5448
10,9,0,28.5264,29.5448
10,10,0,28.5264,29.5448
10,1,1,33.0298,33.0298
10,2,1,33.0298,33.2867
10,3,1,33.0298,31.2631
10,4,1,33.0298,31.2631
10,5,1,33.0298,31.2631
10,6,1,33.0298,31.2631
10,7,1,33.0298,31.2631
10,8,1,33.0298,31.2631
10,9,1,33.0298,31.2631
10,10,1,33.0298,31.2631
10,1,2,32.1994,32.1994
10,2,2,32.1994,32.57
10,3,2,32.1994,32.57
10,4,2,32.1994,32.57
10,5,2,32.1994,33.5561
10,6,2,32.1994,33.5561
10,7,2,32.1994,33.5793
10,8,2,32.1994,32.57
10,9,2,32.1994,32.57
10,10,2,32.1994,32.57
10,1,3,30.5139,30.5139
10,2,3,30.5139,28.7795
10,3,3,30.5139,29.5624
10,4,3,30.5139,29.5624
10,5,3,30.5139,29.5624
10,6,3,30.5139,29.5624
10,7,3,30.5139,29.5624
10,8,3,30.5139,29.5624
10,9,3,30.5139,29.5624
10,10,3,30.5139,29.5624
10,1,4,30.7065,30.7065
10,2,4,30.7065,30.3139
10,3,4,30.7065,30.2293
10,4,4,30.7065,30.2293
10,5,4,30.7065,30.2293
10,6,4,30.7065,30.2293
10,7,4,30.7065,30.2293
10,8,4,30.7065,30.2293
10,9,4,30.7065,30.2293
10,10,4,30.7065,30.2293
10,1,5,25.657,25.657
10,2,5,25.657,27.0411
10,3,5,25.657,27.0411
10,4,5,25.657,27.0411
10,5,5,25.657,27.6638
10,6,5,25.657,27.6638
10,7,5,25.657,27.6638
10,8,5,25.657,27.0411
10,9,5,25.657,27.6638
10,10,5,25.657,27.6638
10,1,6,29.5824,29.5824
10,2,6,29.5824,31.1087
10,3,6,29.5824,31.1087
10,4,6,29.5824,31.1087
10,5,6,29.5824,31.1087
10,6,6,29.5824,31.1087
10,7,6,29.5824,31.1087
10,8,6,29.5824,31.1087
10,9,6,29.5824,31.1087
10,10,6,29.5824,31.1087
10,1,7,27.1447,27.1447
10,2,7,27.1447,27.3701
10,3,7,27.1447,27.3701
10,4,7,27.1447,27.3701
10,5,7,27.1447,27.3701
10,6,7,27.1447,27.3701
10,7,7,27.1447,27.3701
10,8,7,27.1447,27.3701
10,9,7,27.1447,27.3701
10,10,7,27.1447,27.3701
10,1,8,31.7763,31.7763
10,2,8,31.7763,30.6091
10,3,8,31.7763,31.8672
10,4,8,31.7763,31.8672
10,5,8,31.7763,31.8672
10,6,8,31.7763,31.8672
10,7,8,31.7763,31.8672
10,8,8,31.7763,31.8672
10,9,8,31.7763,31.8672
10,10,8,31.7763,31.8672
10,1,9,31.9953,31.9953
10,2,9,31.9953,31.5631
10,3,9,31.9953,32.6804
10,4,9,31.9953,32.6804
10,5,9,31.9953,32.6804
10,6,9,31.9953,32.6804
10,7,9,31.9953,32.6804
10,8,9,31.9953,32.6804
10,9,9,31.9953,32.6804
10,10,9,31.9953,32.6804
10,1,10,24.0975,24.0975
10,2,10,24.0975,23.8924
10,3,10,24.0975,25.4333
10,4,10,24.0975,25.4333
10,5,10,24.0975,25.4333
10,6,10,24.0975,25.4333
10,7,10,24.0975,25.4333
10,8,10,24.0975,25.4333
10,9,10,24.0975,25.4333
10,10,10,24.0975,25.4333
10,1,11,29.9716,29.9716
10,2,11,29.9716,29.9688
10,3,11,29.9716,27.9726
10,4,11,29.9716,28.8014
10,5,11,29.9716,28.8014
10,6,11,29.9716,28.8014
10,7,11,29.9716,28.8014
10,8,11,29.9716,28.8014
10,9,11,29.9716,28.8014
10,10,11,29.9716,28.8014
10,1,12,31.5673,31.5673
10,2,12,31.5673,30.25
10,3,12,31.5673,31.7229
10,4,12,31.5673,31.7229
10,5,12,31.5673,31.7229
10,6,12,31.5673,31.7229
10,7,12,31.5673,31.7229
10,8,12,31.5673,31.7229
10,9,12,31.5673,31.7229
10,10,12,31.5673,31.7229
10,1,13,31.2221,31.2221
10,2,13,31.2221,29.5122
10,3,13,31.2221,29.8678
10,4,13,31.2221,29.8678
10,5,13,31.2221,29.8678
10,6,13,31.2221,29.8678
10,7,13,31.2221,29.8678
10,8,13,31.2221,29.8678
10,9,13,31.2221,29.8678
10,10,13,31.2221,29.8678
10,1,14,33.2558,33.2558
10,2,14,33.2558,33.0206
10,3,14,33.2558,33.0206
10,4,14,33.2558,33.0206
10,5,14,33.2558,31.8317
10,6,14,33.2558,31.8317
10,7,14,33.2558,31.8317
10,8,14,33.2558,33.0206
10,9,14,33.2558,31.8317
10,10,14,33.2558,31.8317
10,1,15,31.997,31.997
10,2,15,31.997,31.5608
10,3,15,31.997,31.5608
10,4,15,31.997,31.5608
10,5,15,31.997,31.5608
10,6,15,31.997,31.5608
10,7,15,31.997,31.5608
10,8,15,31.997,31.5608
10,9,15,31.997,31.5608
10,10,15,31.997,31.5608
10,1,16,31.9881,31.9881
10,2,16,31.9881,30.7292
10,3,16,31.9881,30.2812
10,4,16,31.9881,30.2812
10,5,16,31.9881,30.2812
10,6,16,31.9881,30.2812
10,7,16,31.9881,30.2812
10,8,16,31.9881,30.2812
10,9,16,31.9881,30.2812
10,10,16,31.9881,30.2812
10,1,17,26.2427,26.2427
10,2,17,26.2427,27.9706
10,3,17,26.2427,27.9706
10,4,17,26.2427,27.9706
10,5,17,26.2427,27.9706
10,6,17,26.2427,27.9706
10,7,17,26.2427,27.9706
10,8,17,26.2427,27.9706
10,9,17,26.2427,27.9706
10,10,17,26.2427,27.9706
10,1,18,35.1758,35.1758
10,2,18,35.1758,35.1152
10,3,18,35.1758,35.1152
10,4,18,35.1758,35.1152
10,5,18,35.1758,35.1152
10,6,18,35.1758,35.1152
10,7,18,35.1758,35.1152
10,8,18,35.1758,35.1152
10,9,18,35.1758,35.1152
10,10,18,35.1758,35.1152
10,1,19,32.3603,32.3603
10,2,19,32.3603,32.107
10,3,19,32.3603,32.107
10,4,19,32.3603,32.107
10,5,19,32.3603,32.2244
10,6,19,32.3603,32.9467
10,7,19,32.3603,32.0049
10,8,19,32.3603,32.107
10,9,19,32.3603,32.9467
10,10,19,32.3603,32.2244
15,1,0,63.6395,63.6395
15,2,0,63.6395,63.572
15,3,0,63.6395,65.4914
15,4,0,63.6395,65.6565
15,5,0,63.6395,65.4219
15,6,0,63.6395,65.4219
15,7,0,63.6395,66.1502
15,8,0,63.6395,66.1502
15,9,0,63.6395,66.3578
15,10,0,63.6395,68.501
15,1,1,69.6304,69.6304
15,2,1,69.6304,73.5267
