n,B,trial,greedy_score,beam_score
5,1,0,0.0595135,0.0595135
5,2,0,0.0595135,0.109479
5,3,0,0.0595135,0.109479
5,4,0,0.0595135,0.109479
5,5,0,0.0595135,0.109479
5,6,0,0.0595135,0.109479
5,7,0,0.0595135,0.109479
5,8,0,0.0595135,0.109479
5,9,0,0.0595135,0.109479
5,10,0,0.0595135,0.109479
5,1,1,0.0856173,0.0856173
5,2,1,0.0856173,0.0838718
5,3,1,0.0856173,0.083886
5,4,1,0.0856173,0.083886
5,5,1,0.0856173,0.083886
5,6,1,0.0856173,0.083886
5,7,1,0.0856173,0.083886
5,8,1,0.0856173,0.083886
5,9,1,0.0856173,0.083886
5,10,1,0.0856173,0.083886
5,1,2,0.114638,0.114638
5,2,2,0.114638,0.115137
5,3,2,0.114638,0.115141
5,4,2,0.114638,0.115141
5,5,2,0.114638,0.115141
5,6,2,0.114638,0.115141
5,7,2,0.114638,0.115141
5,8,2,0.114638,0.115141
5,9,2,0.114638,0.115141
5,10,2,0.114638,0.115141
5,1,3,0.0950187,0.0950187
5,2,3,0.0950187,0.110408
5,3,3,0.0950187,0.110414
5,4,3,0.0950187,0.110414
5,5,3,0.0950187,0.110414
5,6,3,0.0950187,0.110414
5,7,3,0.0950187,0.116468
5,8,3,0.0950187,0.116468
5,9,3,0.0950187,0.116468
5,10,3,0.0950187,0.116468
5,1,4,0.0666397,0.0666397
5,2,4,0.0666397,0.0903492
5,3,4,0.0666397,0.0903568
5,4,4,0.0666397,0.0903568
5,5,4,0.0666397,0.0903568
5,6,4,0.0666397,0.0903568
5,7,4,0.0666397,0.0927815
5,8,4,0.0666397,0.0927815
5,9,4,0.0666397,0.0927815
5,10,4,0.0666397,0.0927815
5,1,5,0.086758,0.086758
5,2,5,0.086758,0.124955
5,3,5,0.086758,0.124955
5,4,5,0.086758,0.124955
5,5,5,0.086758,0.124955
5,6,5,0.086758,0.124955
5,7,5,0.086758,0.124955
5,8,5,0.086758,0.124955
5,9,5,0.086758,0.124955
5,10,5,0.086758,0.124955
5,1,6,0.0583291,0.0583291
5,2,6,0.0583291,0.0997809
5,3,6,0.0583291,0.0997809
5,4,6,0.0583291,0.0997809
5,5,6,0.0583291,0.0997809
5,6,6,0.0583291,0.0997809
5,7,6,0.0583291,0.0997809
5,8,6,0.0583291,0.0997809
5,9,6,0.0583291,0.0997809
5,10,6,0.0583291,0.0997809
5,1,7,0.100164,0.100164
5,2,7,0.100164,0.106241
5,3,7,0.100164,0.106241
5,4,7,0.100164,0.106241
5,5,7,0.100164,0.106241
5,6,7,0.100164,0.106241
