n,B,trial,greedy_score,beam_score
5,1,0,5.00236,5.00236
5,2,0,5.00236,6.78779
5,3,0,5.00236,6.78779
5,4,0,5.00236,6.78779
5,5,0,5.00236,6.78779
5,6,0,5.00236,6.78779
5,7,0,5.00236,6.78779
5,8,0,5.00236,6.78779
5,9,0,5.00236,6.78779
5,10,0,5.00236,6.78779
5,1,1,5.33838,5.33838
5,2,1,5.33838,5.12361
5,3,1,5.33838,5.15891
5,4,1,5.33838,5.0473
5,5,1,5.33838,5.15891
5,6,1,5.33838,5.15891
5,7,1,5.33838,5.15891
5,8,1,5.33838,5.15891
5,9,1,5.33838,5.15891
5,10,1,5.33838,5.15891
5,1,2,7.36868,7.36868
5,2,2,7.36868,6.63354
5,3,2,7.36868,7.19183
5,4,2,7.36868,7.19183
5,5,2,7.36868,7.19183
5,6,2,7.36868,7.19183
5,7,2,7.36868,7.19183
5,8,2,7.36868,7.19183
5,9,2,7.36868,7.36868
5,10,2,7.36868,7.19183
5,1,3,6.21498,6.21498
5,2,3,6.21498,6.65537
5,3,3,6.21498,6.65537
5,4,3,6.21498,6.65537
5,5,3,6.21498,6.65537
5,6,3,6.21498,6.65537
5,7,3,6.21498,6.65537
5,8,3,6.21498,6.65537
5,9,3,6.21498,6.65537
5,10,3,6.21498,6.65537
5,1,4,5.58373,5.58373
5,2,4,5.58373,5.95299
5,3,4,5.58373,6.20987
5,4,4,5.58373,6.20987
5,5,4,5.58373,6.20987
5,6,4,5.58373,6.20987
5,7,4,5.58373,6.20987
5,8,4,5.58373,6.20987
5,9,4,5.58373,6.20987
5,10,4,5.58373,6.20987
5,1,5,6.91258,6.91258
5,2,5,6.91258,6.64184
5,3,5,6.91258,6.81736
5,4,5,6.91258,6.81736
5,5,5,6.91258,6.81736
5,6,5,6.91258,6.81736
5,7,5,6.91258,6.81736
5,8,5,6.91258,6.81736
5,9,5,6.91258,6.81736
5,10,5,6.91258,6.64184
5,1,6,5.53947,5.53947
5,2,6,5.53947,6.08689
5,3,6,5.53947,6.08689
5,4,6,5.53947,6.08689
5,5,6,5.53947,6.08689
5,6,6,5.53947,6.08689
5,7,6,5.53947,6.08689
5,8,6,5.53947,6.08689
5,9,6,5.53947,6.08689
5,10,6,5.53947,6.08689
5,1,7,5.66636,5.66636
5,2,7,5.66636,5.89795
5,3,7,5.66636,5.89795
5,4,7,5.66636,5.89795
5,5,7,5.66636,5.89795
5,6,7,5.66636,5.89795
5,7,7,5.66636,5.89795
5,8,7,5.66636,5.89795
5,9,7,5.66636,5.89795
5,10,7,5.66636,5.89795
5,1,8,6.44914,6.44914
5,2,8,6.44914,6.51337
5,3,8,6.44914,6.51337
5,4,8,6.44914,6.22202
5,5,8,6.44914,6.51337
5,6,8,6.44914,6.87717
5,7,8,6.44914,7.06214
5,8,8,6.44914,7.06214
5,9,8,6.44914,7.06214
5,10,8,6.44914,7.06214
5,1,9,5.49499,5.49499
5,2,9,5.49499,6.18214
5,3,9,5.49499,6.18214
5,4,9,5.49499,6.18214
5,5,9,5.49499,6.18214
5,6,9,5.49499,6.18214
5,7,9,5.49499,6.18214
5,8,9,5.49499,6.20228
5,9,9,5.49499,6.20228
5,10,9,5.49499,6.20228
5,1,10,8.21822,8.21822
5,2,10,8.21822,7.71106
5,3,10,8.21822,7.83014
5,4,10,8.21822,7.83014
5,5,10,8.21822,7.83014
5,6,10,8.21822,7.83014
5,7,10,8.21822,7.83014
5,8,10,8.21822,7.83014
5,9,10,8.21822,7.95081
5,10,10,8.21822,7.95081
5,1,11,5.25238,5.25238
5,2,11,5.25238,5.2956
5,3,11,5.25238,6.03938
5,4,11,5.25238,6.03938
5,5,11,5.25238,6.03938
5,6,11,5.25238,6.03938
5,7,11,5.25238,6.03938
5,8,11,5.25238,6.07669
5,9,11,5.25238,6.07669
5,10,11,5.25238,6.07669
5,1,12,5.90335,5.90335
5,2,12,5.90335,5.79564
5,3,12,5.90335,5.88708
5,4,12,5.90335,5.88708
5,5,12,5.90335,5.88708
5,6,12,5.90335,5.88708
5,7,12,5.90335,5.90335
5,8,12,5.90335,5.90335
5,9,12,5.90335,5.90335
5,10,12,5.90335,5.90335
5,1,13,7.7888,7.7888
5,2,13,7.7888,6.20071
5,3,13,7.7888,7.66964
5,4,13,7.7888,7.66964
5,5,13,7.7888,7.66964
5,6,13,7.7888,7.66964
5,7,13,7.7888,7.7888
5,8,13,7.7888,7.7888
5,9,13,7.7888,7.7888
5,10,13,7.7888,7.7888
5,1,14,5.10821,5.10821
5,2,14,5.10821,5.32573
5,3,14,5.10821,5.32573
5,4,14,5.10821,5.17813
5,5,14,5.10821,5.17813
5,6,14,5.10821,5.32573
5,7,14,5.10821,5.32573
5,8,14,5.10821,5.32573
