n,B,trial,greedy_score,beam_score
5,1,0,0.318088,0.318088
5,2,0,0.318088,0.589762
5,3,0,0.318088,0.589762
5,4,0,0.318088,0.589762
5,5,0,0.318088,0.589762
5,6,0,0.318088,0.589762
5,7,0,0.318088,0.589762
5,8,0,0.318088,0.589762
5,9,0,0.318088,0.589762
5,10,0,0.318088,0.589762
5,1,1,0.459381,0.459381
5,2,1,0.459381,0.449284
5,3,1,0.459381,0.453842
5,4,1,0.459381,0.453842
5,5,1,0.459381,0.453842
5,6,1,0.459381,0.453842
5,7,1,0.459381,0.453842
5,8,1,0.459381,0.453842
5,9,1,0.459381,0.453842
5,10,1,0.459381,0.453842
5,1,2,0.616419,0.616419
5,2,2,0.616419,0.617847
5,3,2,0.616419,0.619097
5,4,2,0.616419,0.619097
5,5,2,0.616419,0.619097
5,6,2,0.616419,0.619097
5,7,2,0.616419,0.619097
5,8,2,0.616419,0.619097
5,9,2,0.616419,0.619097
5,10,2,0.616419,0.619097
5,1,3,0.510011,0.510011
5,2,3,0.510011,0.59381
5,3,3,0.510011,0.595733
5,4,3,0.510011,0.595733
5,5,3,0.510011,0.595733
5,6,3,0.510011,0.595733
5,7,3,0.510011,0.627291
5,8,3,0.510011,0.627291
5,9,3,0.510011,0.627291
5,10,3,0.510011,0.627291
5,1,4,0.358665,0.358665
5,2,4,0.358665,0.485049
5,3,4,0.358665,0.487506
5,4,4,0.358665,0.487506
5,5,4,0.358665,0.487506
5,6,4,0.358665,0.487506
5,7,4,0.358665,0.499771
5,8,4,0.358665,0.499771
5,9,4,0.358665,0.499771
5,10,4,0.358665,0.499771
5,1,5,0.465906,0.465906
5,2,5,0.465906,0.672023
5,3,5,0.465906,0.672023
5,4,5,0.465906,0.672023
5,5,5,0.465906,0.672023
5,6,5,0.465906,0.672023
5,7,5,0.465906,0.672023
5,8,5,0.465906,0.672023
5,9,5,0.465906,0.672023
5,10,5,0.465906,0.672023
5,1,6,0.313577,0.313577
5,2,6,0.313577,0.537927
5,3,6,0.313577,0.537927
5,4,6,0.313577,0.537927
5,5,6,0.313577,0.537927
5,6,6,0.313577,0.537927
5,7,6,0.313577,0.537927
5,8,6,0.313577,0.537927
5,9,6,0.313577,0.537927
5,10,6,0.313577,0.537927
5,1,7,0.536216,0.536216
5,2,7,0.536216,0.570533
5,3,7,0.536216,0.570533
5,4,7,0.536216,0.570533
5,5,7,0.536216,0.570533
5,6,7,0.536216,0.570533
5,7,7,0.536216,0.570533
5,8,7,0.536216,0.570533
5,9,7,0.536216,0.570533
5,10,7,0.536216,0.570533
5,1,8,0.700059,0.700059
5,2,8,0.700059,0.621344
5,3,8,0.700059,0.624432
5,4,8,0.700059,0.624432
