n,B,trial,greedy_score,beam_score
5,4,17,7.04798,7.04798
5,5,17,7.04798,7.04798
5,6,17,7.04798,7.04798
5,7,17,7.04798,7.04798
5,8,17,7.04798,7.04798
5,9,17,7.04798,7.04798
5,10,17,7.04798,7.04798
5,1,18,7.61572,7.61572
5,2,18,7.61572,7.61572
5,3,18,7.61572,7.61572
5,4,18,7.61572,7.61572
5,5,18,7.61572,7.61572
5,6,18,7.61572,7.61572
5,7,18,7.61572,7.61572
5,8,18,7.61572,7.61572
5,9,18,7.61572,7.61572
5,10,18,7.61572,7.61572
5,1,19,6.56182,6.56182
5,2,19,6.56182,6.56182
5,3,19,6.56182,6.56182
5,4,19,6.56182,6.56182
5,5,19,6.56182,6.56182
5,6,19,6.56182,6.56182
5,7,19,6.56182,6.56182
5,8,19,6.56182,6.56182
5,9,19,6.56182,6.56182
5,10,19,6.56182,6.56182
10,1,0,31.7901,31.7901
10,2,0,31.7901,31.7901
10,3,0,31.7901,31.7901
10,4,0,31.7901,31.7901
10,5,0,31.7901,31.7901
10,6,0,31.7901,31.7901
10,7,0,31.7901,31.7901
10,8,0,31.7901,31.7901
10,9,0,31.7901,31.7901
10,10,0,31.7901,31.7901
10,1,1,35.0415,35.0415
10,2,1,35.0415,35.0415
10,3,1,35.0415,35.0415
10,4,1,35.0415,35.0415
10,5,1,35.0415,35.0415
10,6,1,35.0415,35.0415
10,7,1,35.0415,35.0415
10,8,1,35.0415,35.0415
10,9,1,35.0415,35.0415
10,10,1,35.0415,35.0415
10,1,2,34.9751,34.9751
10,2,2,34.9751,34.9751
10,3,2,34.9751,34.9751
10,4,2,34.9751,34.9751
10,5,2,34.9751,34.9751
10,6,2,34.9751,34.9751
10,7,2,34.9751,34.9751
10,8,2,34.9751,34.9751
10,9,2,34.9751,34.9751
10,10,2,34.9751,34.9751
10,1,3,32.8038,32.8038
10,2,3,32.8038,32.8038
10,3,3,32.8038,32.8038
10,4,3,32.8038,32.8038
10,5,3,32.8038,32.8038
10,6,3,32.8038,32.8038
10,7,3,32.8038,32.8038
10,8,3,32.8038,32.8038
10,9,3,32.8038,32.8038
10,10,3,32.8038,32.8038
10,1,4,33.4378,33.4378
10,2,4,33.4378,33.4378
10,3,4,33.4378,33.4378
10,4,4,33.4378,33.4378
10,5,4,33.4378,33.4378
10,6,4,33.4378,33.4378
10,7,4,33.4378,33.4378
10,8,4,33.4378,33.4378
10,9,4,33.4378,33.4378
10,10,4,33.4378,33.4378
10,1,5,28.8207,28.8207
10,2,5,28.8207,28.8207
10,3,5,28.8207,28.8207
10,4,5,28.8207,28.8207
10,5,5,28.8207,28.8207
10,6,5,28.8207,28.8207
10,7,5,28.8207,28.8207
10,8,5,28.8207,28.8207
10,9,5,28.8207,28.8207
10,10,5,28.8207,28.8207
10,1,6,34.2135,34.2135
10,2,6,34.2135,34.2135
10,3,6,34.2135,34.2135
10,4,6,34.2135,34.2135
10,5,6,34.2135,34.2135
10,6,6,34.2135,34.2135
10,7,6,34.2135,34.2135
10,8,6,34.2135,34.2135
10,9,6,34.2135,34.2135
10,10,6,34.2135,34.2135
10,1,7,29.8635,29.8635
10,2,7,29.8635,29.8635
10,3,7,29.8635,29.8635
10,4,7,29.8635,29.8635
