n,B,trial,greedy_score,beam_score
5,1,0,2.26473,2.26473
5,2,0,2.26473,4.02939
5,3,0,2.26473,4.02939
5,4,0,2.26473,4.02939
5,5,0,2.26473,4.02939
5,6,0,2.26473,4.02939
5,7,0,2.26473,4.02939
5,8,0,2.26473,4.02939
5,9,0,2.26473,4.02939
5,10,0,2.26473,4.02939
5,1,1,2.93724,2.93724
5,2,1,2.93724,3.31197
5,3,1,2.93724,3.31197
5,4,1,2.93724,3.09148
5,5,1,2.93724,3.09148
5,6,1,2.93724,3.31197
5,7,1,2.93724,3.31197
5,8,1,2.93724,3.31197
5,9,1,2.93724,3.31197
5,10,1,2.93724,3.31197
5,1,2,4.03114,4.03114
5,2,2,4.03114,3.56106
5,3,2,4.03114,3.96827
5,4,2,4.03114,3.96827
5,5,2,4.03114,3.96827
5,6,2,4.03114,3.96827
5,7,2,4.03114,3.96827
5,8,2,4.03114,4.03114
5,9,2,4.03114,4.03114
5,10,2,4.03114,4.03114
5,1,3,3.21679,3.21679
5,2,3,3.21679,3.93934
5,3,3,3.21679,3.93934
5,4,3,3.21679,3.80633
5,5,3,3.21679,3.80633
5,6,3,3.21679,3.93934
5,7,3,3.21679,3.93934
5,8,3,3.21679,3.93934
5,9,3,3.21679,3.93934
5,10,3,3.21679,3.93934
5,1,4,2.63237,2.63237
5,2,4,2.63237,3.21543
5,3,4,2.63237,3.42213
5,4,4,2.63237,3.42213
5,5,4,2.63237,3.42213
5,6,4,2.63237,3.42213
5,7,4,2.63237,3.42213
5,8,4,2.63237,3.42213
5,9,4,2.63237,3.42213
5,10,4,2.63237,3.42213
5,1,5,2.91945,2.91945
5,2,5,2.91945,3.93355
5,3,5,2.91945,4.03782
5,4,5,2.91945,4.03782
5,5,5,2.91945,4.03782
5,6,5,2.91945,4.03782
5,7,5,2.91945,4.03782
5,8,5,2.91945,4.03782
5,9,5,2.91945,4.03782
5,10,5,2.91945,4.03782
5,1,6,2.44233,2.44233
5,2,6,2.44233,3.53089
5,3,6,2.44233,3.53089
5,4,6,2.44233,3.53089
5,5,6,2.44233,3.53089
5,6,6,2.44233,3.53089
5,7,6,2.44233,3.53089
5,8,6,2.44233,3.53089
5,9,6,2.44233,3.53089
5,10,6,2.44233,3.53089
5,1,7,3.10432,3.10432
5,2,7,3.10432,3.3245
5,3,7,3.10432,3.3245
5,4,7,3.10432,3.3245
5,5,7,3.10432,3.3245
5,6,7,3.10432,3.3245
5,7,7,3.10432,3.3245
5,8,7,3.10432,3.3245
5,9,7,3.10432,3.3245
5,10,7,3.10432,3.3245
5,1,8,4.26607,4.26607
5,2,8,4.26607,3.09186
5,3,8,4.26607,4.28096
5,4,8,4.26607,4.28096
5,5,8,4.26607,4.28096
5,6,8,4.26607,4.28096
5,7,8,4.26607,4.26607
5,8,8,4.26607,4.26607
5,9,8,4.26607,4.26607
5,10,8,4.26607,4.26607
5,1,9,3.14988,3.14988
5,2,9,3.14988,3.79273
5,3,9,3.14988,3.79273
5,4,9,3.14988,3.79273
5,5,9,3.14988,3.79273
5,6,9,3.14988,3.79273
5,7,9,3.14988,3.79273
5,8,9,3.14988,3.79273
5,9,9,3.14988,3.79273
5,10,9,3.14988,3.79273
5,1,10,3.64453,3.64453
5,2,10,3.64453,4.1304
5,3,10,3.64453,4.3989
5,4,10,3.64453,4.3989
5,5,10,3.64453,4.3989
5,6,10,3.64453,4.3989
5,7,10,3.64453,4.3989
5,8,10,3.64453,4.3989
5,9,10,3.64453,4.3989
5,10,10,3.64453,4.45303
5,1,11,2.93929,2.93929
5,2,11,2.93929,2.71572
5,3,11,2.93929,3.67122
5,4,11,2.93929,3.67122
5,5,11,2.93929,3.67122
5,6,11,2.93929,3.67122
5,7,11,2.93929,3.67122
5,8,11,2.93929,3.67679
5,9,11,2.93929,3.67679
5,10,11,2.93929,3.67679
5,1,12,2.86335,2.86335
5,2,12,2.86335,2.68432
5,3,12,2.86335,3.32007
5,4,12,2.86335,3.32007
5,5,12,2.86335,3.32007
5,6,12,2.86335,3.32007
5,7,12,2.86335,3.52622
5,8,12,2.86335,3.52622
5,9,12,2.86335,3.52622
5,10,12,2.86335,3.52622
5,1,13,4.36156,4.36156
5,2,13,4.36156,3.17301
5,3,13,4.36156,3.89585
