n,trial,greedy,beam20,optimal,greedy/opt%,beam20/opt%
5,0,2.57457910576341,3.76727725723903,3.76727725723903,68.3405794149134,100
5,1,2.93387819831859,3.4846423471468,3.48748495754928,84.1259025925742,99.9184911064252
5,2,3.95474039435386,3.95859013984839,3.97191131118825,99.5676913332374,99.6646155894182
5,3,3.46521010861968,3.46521010861968,3.79267493508627,91.3658609801439,91.3658609801439
5,4,2.60503144205122,3.20376476206056,3.20376476206056,81.3115704654841,100
5,5,3.19006261666878,4.11189059671335,4.11189059671335,77.5814079104781,100
5,6,2.41074938266244,3.46521147388606,3.46521147388606,69.5700507986287,100
5,7,3.42079552306488,3.42079552306488,3.58523305774265,95.4134771148935,95.4134771148935
5,8,4.31689514891284,4.31689514891284,4.31689514891284,100,100
5,9,3.3942888326713,3.75991203077474,3.7874670288567,89.6189671569476,99.2724689648248
5,10,3.47584064197872,4.29611344491642,4.33883140751631,80.1100645661734,99.0154500466213
5,11,2.90077932752773,3.38775448457757,3.38775448457757,85.6254294912236,100
5,12,2.567962666009,3.27559473307229,3.27864121575859,78.3239914653131,99.9070809373206
5,13,4.18312239924964,4.18312239924964,4.18312239924964,100,100
5,14,2.490967264597,2.82732960499163,2.87547280959299,86.6280931708614,98.3257290960725
5,15,4.23346417935115,4.33624311576469,4.35955019273354,97.1078205822116,99.4653788593212
5,16,3.43351234145377,4.12834858351168,4.25454592273116,80.7022042730628,97.0338235498827
5,17,2.63549887451344,3.56710195286539,3.57972230214755,73.6229978770239,99.6474489299188
5,18,2.47703403759192,3.11754625587379,3.11754625587379,79.454604175477,100
5,19,2.15981499463387,2.92261006716928,3.08483935850029,70.0138562704242,94.7410781412657
5,20,2.31400400894872,3.54299132202194,3.54299132202194,65.3121557076846,100
5,21,2.84344496434774,3.39368066680709,3.39973516918268,83.6372488693386,99.8219125292326
5,22,2.14492357544976,3.5375316003676,3.5375316003676,60.6333403559383,100
5,23,2.98188163487516,3.11062298848869,3.83377466212777,77.7792618938171,81.1373453744482
5,24,4.31563481619931,4.31563481619931,4.31563481619932,100,100
5,25,2.28525417572681,3.51849746775866,3.51849746775866,64.9497177891262,100
5,26,4.47338010103445,4.47338010103445,4.47338010103445,100,100
5,27,3.84081088202225,4.42347104851922,4.49787840398067,85.391612157036,98.3457232770988
5,28,4.54906909337387,4.97353282407151,4.97814238159822,91.3808554409687,99.9074040641393
5,29,3.53966118099501,3.53966118099501,3.79881116182601,93.1781294254585,93.1781294254585
5,30,4.0340289724714,4.48144804023069,4.48144804023069,90.0161942358199,100
5,31,4.21757650559187,4.21757650559187,4.22065610879137,99.9270349651778,99.9270349651778
5,32,3.78169826858723,3.78169826858723,3.78429553006225,99.9313673719616,99.9313673719616
5,33,3.44898897324555,3.8088925349252,3.8088925349252,90.5509657103855,100
5,34,1.6669928975309,3.71099459266431,3.71099459266431,44.9203806663076,100
5,35,3.01880653525496,3.15188215368898,3.51057713660018,85.9917448838207,89.7824497524479
5,36,2.21555040712957,3.86074602514743,3.86734600810366,57.2886522821358,99.8293407690339
5,37,1.62693562683931,3.64913205897281,3.64913205897281,44.5841805817594,100
5,38,1.76380778334471,3.20869808831906,3.20869808831906,54.9695775294557,100
5,39,4.29659004697427,4.30897502516711,4.30897502516711,99.7125771646272,100
5,40,2.8990118349027,3.16829631352265,3.41265477792408,84.9488748072598,92.8396371651142
5,41,3.13437555263868,3.13437555263868,3.54649173154068,88.3796097637321,88.3796097637321
5,42,2.5458655346233,2.97655439725176,2.97655439725176,85.5306234945309,100
5,43,3.55133385867425,3.93339972579631,3.93339972579631,90.2866249617,100
5,44,2.58295019796823,3.25237513131067,3.25237513131067,79.4173517409515,100
5,45,4.27598599930164,4.33232436737567,4.35744821087611,98.1305064883813,99.423427605227
5,46,4.15799528656235,4.49935189343138,4.53409417273589,91.7050931929231,99.2337547924473
5,47,2.83708509578392,4.07939783424991,4.10477805825204,69.1166502919783,99.381690711606
5,48,3.41852231592487,4.30253177890905,4.30253177890905,79.4537377430288,100
5,49,2.47840733888328,2.93376473066222,2.93376473066222,84.4787352230472,100
10,0,12.3005346555865,14.3673901894301,15.5280501763542,79.214933722442,92.5253977560457
10,1,14.2907988246482,14.8412556368618,15.2438179896596,93.7481596430905,97.3591763358049
10,2,14.746010747075,14.746010747075,15.0166121402696,98.1979863988833,98.1979863988833
10,3,13.7986738392986,14.6891230109272,15.6591491337201,88.1189247350916,93.8053714508405
10,4,12.0487052412253,14.1978848322459,14.3078852153723,84.2102453287802,99.231190483635
10,5,12.348840533187,12.348840533187,13.2658030651348,93.0877721654279,93.0877721654279
10,6,12.7341084669769,14.5805396955205,15.8457220317101,80.3630686029563,92.0156220482873
10,7,9.50140579071851,12.9117641824671,13.9024147553289,68.3435644665725,92.8742553700459
10,8,12.4490957882702,15.9681296072164,15.9681296072164,77.9621414310424,100
10,9,12.9901989120228,13.6763148118741,15.346141959727,84.6479782743638,89.1189124130675
10,10,9.65851142637627,12.6691193364233,13.4897558679923,71.598860060125,93.9165946396696
10,11,12.5669415124672,13.1404301750956,14.8139181059969,84.8319899067071,88.703272699855
10,12,15.6874951508576,15.6874951508576,16.7323590850353,93.755429650609,93.755429650609
10,13,13.5055729303885,13.7299222919963,14.8925003135334,90.6870750112758,92.1935336776151
10,14,12.6086080957957,13.4533232681626,14.729335935202,85.6020132290016,91.336930105655
10,15,12.1079007421186,13.0414234854177,16.3876916549495,73.8841137425334,79.58060085588
10,16,12.7852528538222,14.3123638113551,15.7500083273099,81.1761656763892,90.8721031374821
10,17,10.4540254906334,13.1348120406345,14.1679915899294,73.7862203282517,92.7076498970454
10,18,13.6161920450452,15.5835756726385,16.0744728056689,84.7069276215593,96.9461074153717
10,19,14.2175236543528,14.743825400715,16.3256647488076,87.0869509640714,90.3107201303506
10,20,12.1472857467293,14.2974567646081,14.2974567646081,84.9611643995226,100
10,21,13.8374782114221,13.8374782114221,14.8333675776124,93.2861546039392,93.2861546039392
10,22,12.0997404534301,13.0359559085056,15.2421545606328,79.3833995403842,85.5256772042887
10,23,11.9169526818085,14.3323120334962,15.5928105685844,76.4259440553851,91.9161556568399
10,24,13.7457751090394,13.7457751090394,14.4199379083932,95.324787085516,95.324787085516
10,25,17.35190733691,17.35190733691,17.5396339961138,98.9297002477623,98.9297002477623
10,26,12.6215518765049,15.1372577351842,16.1506748095448,78.14875864534,93.7252338598157
10,27,14.0810171118754,14.4516848802256,15.8454860959839,88.8645323127341,91.2037964167503
10,28,10.1293943463553,13.6474042535135,14.1808750802936,71.4299666910654,96.2380965648484
10,29,11.2057244758688,13.061753664485,13.8657035757645,80.8161260237449,94.2018815930503
10,30,10.7796728506711,14.4231911668831,16.0783275181603,67.044739811996,89.7057927859244
10,31,13.9468670161659,13.9468670161659,15.0348718459439,92.763457906883,92.763457906883
10,32,12.7072146101119,15.1888431364773,16.2993677853078,77.9613956657027,93.1867010827774
10,33,12.3313267463172,16.2733940091762,16.6692500521221,73.9764938900013,97.6252318388161
10,34,10.866783069295,16.4298528369972,16.4298528369972,66.1404771978532,100
10,35,13.678406835116,13.7011865965168,16.0009321791678,85.485062257338,85.6274274717252
10,36,11.4805418126085,14.1767969757086,15.6273085823596,73.46461325764,90.718097111819
10,37,12.1506969097316,12.1506969097316,13.7427016551988,88.4156348190464,88.4156348190464
10,38,11.6715264364805,12.6363738617488,13.8229207338619,84.4360367913338,91.4160914689583
10,39,12.4480029965624,15.0230524672431,15.4231491662248,80.7098658153571,97.4058689657371
10,40,12.4157625663969,13.9818463259764,14.1294053789523,87.8717980934419,98.9556598524962
10,41,11.3133753487503,12.3002999832551,14.5414414220009,77.8009209708288,84.5879003758525
10,42,15.2690183494542,15.2690183494542,16.642701255999,91.746033979612,91.746033979612
10,43,12.6970242606873,13.1772030936974,15.053725265175,84.3447321976861,87.534499677507
